[2025-11-25 11:52:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:52:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=52,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:52:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:52:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=52,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:52:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:52:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=52,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:53:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:53:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=53,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:53:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:53:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=53,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:53:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:53:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=53,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:54:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:54:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=54,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:54:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:54:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=54,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:54:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:54:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=54,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:55:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:55:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=55,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:55:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:55:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=55,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:55:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:55:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=55,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:56:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:56:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=56,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:56:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:56:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=56,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:56:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:56:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=56,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:57:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:57:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=57,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:57:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:57:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=57,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:57:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:57:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=57,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:58:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:58:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=58,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:58:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:58:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=58,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:58:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:58:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=58,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:59:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:59:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=59,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:59:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 11:59:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=59,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 11:59:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 11:59:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=59,hour=11,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:00:05] [get_chores.php] Returned chores list (70 chores).
[2025-11-25 12:00:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:00:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=0,hour=12,dom=25,mon=11,dow=2] | Match[min=1,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:00:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:00:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=0,hour=12,dom=25,mon=11,dow=2] | Match[min=1,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:00:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 12:00:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=0,hour=12,dom=25,mon=11,dow=2] | Match[min=1,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
